timestamp,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-12-20 18:46:20,273.71,0,5.66,90.12,3.82,5.33,9.28,1.39
2024-12-20 20:33:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 20:53:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:43,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:44,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:44,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:44,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:44,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:44,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:45,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:45,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:45,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:45,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:45,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:46,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:46,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:46,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:46,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:46,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:47,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:48,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:48,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:48,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:48,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:49,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:49,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:49,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:49,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:49,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:50,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:50,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:50,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:50,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:50,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:51,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:51,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:51,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:51,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:51,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:52,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:52,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:52,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:52,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:52,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:53,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:53,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:53,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:53,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:53,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:54,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:54,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:54,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:54,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:54,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:55,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:55,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:55,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:55,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:55,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:56,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:56,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:56,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:56,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:57,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:57,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:57,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:57,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:57,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:58,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:58,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:58,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:58,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:58,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:59,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:59,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:59,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:59,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:06:59,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:00,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:00,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:00,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:00,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:00,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:01,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:01,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:01,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:01,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:01,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:02,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:02,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:02,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:02,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:03,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:03,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:03,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:03,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:03,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:04,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:04,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:04,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:04,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:04,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:05,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:05,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:05,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:05,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:05,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:06,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:06,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:06,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:06,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:06,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:07,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:07,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:07,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:07,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:07,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:08,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:08,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:08,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:08,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:09,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:09,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:09,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:09,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:09,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:10,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:10,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:10,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:10,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:10,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:11,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:12,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:12,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:12,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:12,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:13,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:13,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:13,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:13,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:13,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:14,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:14,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:14,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:14,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:14,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:15,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:15,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:15,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:15,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:15,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:16,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:16,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:16,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:16,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:17,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:17,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:17,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:17,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:17,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:18,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:18,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:18,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:18,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:18,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:19,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:19,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:19,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:19,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:19,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:20,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:20,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:20,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:20,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:20,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:21,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:21,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:21,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:21,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:21,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:22,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:22,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:22,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:22,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:23,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:23,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:23,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:23,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:23,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:24,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:24,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:24,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:24,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:24,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:25,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:25,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:25,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:25,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:25,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:26,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:26,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:26,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:26,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:26,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:27,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:27,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:27,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:27,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:28,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:28,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:28,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:28,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:28,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:29,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:29,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:29,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:29,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:29,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:30,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:30,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:30,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:30,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:30,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:31,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:31,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:31,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:31,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:31,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:32,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:32,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:32,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:32,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
2024-12-20 21:07:33,270.37,0,3.94,94.41,2.41,5.97,8.71,1.22
